MEMBER,PARTY,DISTRICT,TRUMP SCORE
Don Young,R,AK-AL,1.00
Bradley Byrne,R,AL-1,1.00
Martha Roby,R,AL-2,1.00
Mike Rogers,R,AL-3,1.00
Robert B. Aderholt,R,AL-4,1.00
Mo Brooks,R,AL-5,1.00
Gary J. Palmer,R,AL-6,1.00
Terri A. Sewell,D,AL-7,0.00
Rick Crawford ,R,AR-1,1.00
J. French Hill,R,AR-2,1.00
Steve Womack,R,AR-3,1.00
Bruce Westerman,R,AR-4,1.00
Tom O'Halleran,D,AZ-1,0.23
Martha McSally,R,AZ-2,1.00
Raúl M. Grijalva,D,AZ-3,0.00
Paul A. Gosar,R,AZ-4,1.00
Andy Biggs,R,AZ-5,1.00
David Schweikert,R,AZ-6,1.00
Ruben Gallego,D,AZ-7,0.00
Trent Franks,R,AZ-8,1.00
Kyrsten Sinema,D,AZ-9,0.31
Doug LaMalfa,R,CA-1,1.00
Jeff Denham,R,CA-10,1.00
Mark DeSaulnier,D,CA-11,0.00
Nancy Pelosi,D,CA-12,0.00
Barbara Lee,D,CA-13,0.00
Jackie Speier,D,CA-14,0.00
Eric Swalwell,D,CA-15,0.00
Jim Costa,D,CA-16,0.33
Ro Khanna,D,CA-17,0.00
Anna G. Eshoo,D,CA-18,0.08
Zoe Lofgren,D,CA-19,0.00
Jared Huffman,D,CA-2,0.00
Jimmy Panetta,D,CA-20,0.08
David G. Valadao,R,CA-21,1.00
Devin Nunes,R,CA-22,1.00
Kevin McCarthy,R,CA-23,1.00
Salud O. Carbajal,D,CA-24,0.00
Stephen Knight,R,CA-25,1.00
Julia Brownley,D,CA-26,0.08
Judy Chu,D,CA-27,0.00
Adam B. Schiff,D,CA-28,0.00
Tony Cárdenas,D,CA-29,0.00
John Garamendi,D,CA-3,0.00
Brad Sherman,D,CA-30,0.08
Pete Aguilar,D,CA-31,0.00
Grace F. Napolitano,D,CA-32,0.00
Ted Lieu,D,CA-33,0.00
Norma J. Torres,D,CA-35,0.00
Raul Ruiz,D,CA-36,0.00
Karen Bass,D,CA-37,0.00
Linda T. Sánchez,D,CA-38,0.00
Edward R. Royce,R,CA-39,0.92
Tom McClintock,R,CA-4,0.92
Lucille Roybal-Allard,D,CA-40,0.00
Mark Takano,D,CA-41,0.00
Ken Calvert,R,CA-42,1.00
Maxine Waters,D,CA-43,0.00
Nanette Diaz Barragán,D,CA-44,0.00
Mimi Walters,R,CA-45,1.00
J. Luis Correa,D,CA-46,0.15
Alan S. Lowenthal,D,CA-47,0.00
Dana Rohrabacher,R,CA-48,1.00
Darrell E. Issa,R,CA-49,1.00
Mike Thompson,D,CA-5,0.08
Duncan Hunter,R,CA-50,1.00
Juan Vargas,D,CA-51,0.00
Scott H. Peters,D,CA-52,0.00
Susan A. Davis,D,CA-53,0.00
Doris O. Matsui,D,CA-6,0.00
Ami Bera,D,CA-7,0.08
Paul Cook,R,CA-8,1.00
Jerry McNerney,D,CA-9,0.00
Diana DeGette,D,CO-1,0.00
Jared Polis,D,CO-2,0.00
Scott R. Tipton,R,CO-3,1.00
Ken Buck,R,CO-4,1.00
Doug Lamborn,R,CO-5,1.00
Mike Coffman,R,CO-6,1.00
Ed Perlmutter,D,CO-7,0.15
John B. Larson,D,CT-1,0.00
Joe Courtney,D,CT-2,0.00
Rosa L. DeLauro,D,CT-3,0.00
James A. Himes,D,CT-4,0.00
Elizabeth H. Esty,D,CT-5,0.00
Lisa Blunt Rochester,D,DE-AL,0.00
Matt Gaetz,R,FL-1,1.00
Val Butler Demings,D,FL-10,0.00
Daniel Webster,R,FL-11,1.00
Gus M. Bilirakis,R,FL-12,1.00
Charlie Crist,D,FL-13,0.08
Kathy Castor,D,FL-14,0.00
Dennis A. Ross,R,FL-15,1.00
Vern Buchanan,R,FL-16,1.00
Thomas J. Rooney,R,FL-17,1.00
Brian J. Mast,R,FL-18,0.92
Francis Rooney,R,FL-19,1.00
Neal P. Dunn,R,FL-2,1.00
Alcee L. Hastings,D,FL-20,0.00
Lois Frankel,D,FL-21,0.00
Theodore E. Deutch,D,FL-22,0.00
Debbie Wasserman Schultz,D,FL-23,0.00
Frederica S. Wilson,D,FL-24,0.00
Mario Diaz-Balart,R,FL-25,1.00
Carlos Curbelo,R,FL-26,0.85
Ileana Ros-Lehtinen,R,FL-27,0.69
Ted S. Yoho,R,FL-3,1.00
John H. Rutherford,R,FL-4,1.00
Al Lawson Jr.,D,FL-5,0.00
Ron DeSantis,R,FL-6,1.00
Stephanie N. Murphy,D,FL-7,0.08
Bill Posey,R,FL-8,1.00
Darren Soto,D,FL-9,0.00
"Earl L. ""Buddy"" Carter",R,GA-1,1.00
Jody B. Hice,R,GA-10,1.00
Barry Loudermilk,R,GA-11,1.00
Rick W. Allen,R,GA-12,1.00
David Scott,D,GA-13,0.08
Tom Graves,R,GA-14,1.00
Sanford D. Bishop Jr.,D,GA-2,0.15
A. Drew Ferguson IV,R,GA-3,1.00
Hank Johnson Jr.,D,GA-4,0.00
John Lewis,D,GA-5,0.00
Rob Woodall,R,GA-7,1.00
Austin Scott,R,GA-8,1.00
Doug Collins,R,GA-9,1.00
Colleen Hanabusa,D,HI-1,0.00
Tulsi Gabbard,D,HI-2,0.00
Rod Blum,R,IA-1,1.00
David Loebsack,D,IA-2,0.08
David Young,R,IA-3,1.00
Steve King,R,IA-4,1.00
Raúl R. Labrador,R,ID-1,0.92
Michael K. Simpson,R,ID-2,1.00
Bobby L. Rush,D,IL-1,0.00
Bradley Scott Schneider,D,IL-10,0.00
Bill Foster,D,IL-11,0.00
Mike Bost,R,IL-12,1.00
Rodney Davis,R,IL-13,1.00
Randy Hultgren,R,IL-14,1.00
John Shimkus,R,IL-15,1.00
Adam Kinzinger,R,IL-16,1.00
Cheri Bustos,D,IL-17,0.00
Darin LaHood,R,IL-18,1.00
Robin L. Kelly,D,IL-2,0.00
Daniel Lipinski,D,IL-3,0.17
Luis V. Gutiérrez,D,IL-4,0.00
Mike Quigley,D,IL-5,0.00
Peter J. Roskam,R,IL-6,1.00
Danny K. Davis,D,IL-7,0.00
Raja Krishnamoorthi,D,IL-8,0.00
Janice D. Schakowsky,D,IL-9,0.00
Peter J. Visclosky,D,IN-1,0.00
Jackie Walorski,R,IN-2,1.00
Jim Banks,R,IN-3,1.00
Todd Rokita,R,IN-4,1.00
Susan W. Brooks,R,IN-5,1.00
Luke Messer,R,IN-6,1.00
André Carson,D,IN-7,0.00
Larry Bucshon,R,IN-8,1.00
Trey Hollingsworth,R,IN-9,1.00
Roger W. Marshall,R,KS-1,1.00
Lynn Jenkins,R,KS-2,1.00
Kevin Yoder,R,KS-3,1.00
James Comer,R,KY-1,1.00
Brett Guthrie,R,KY-2,1.00
John A. Yarmuth,D,KY-3,0.00
Thomas Massie,R,KY-4,0.92
Harold Rogers,R,KY-5,1.00
Andy Barr,R,KY-6,1.00
Steve Scalise,R,LA-1,1.00
Cedric L. Richmond,D,LA-2,0.00
Clay Higgins,R,LA-3,1.00
Mike Johnson,R,LA-4,1.00
Ralph Lee Abraham,R,LA-5,1.00
Garret Graves,R,LA-6,1.00
Richard E. Neal,D,MA-1,0.00
James P. McGovern,D,MA-2,0.00
Niki Tsongas,D,MA-3,0.00
Joseph P. Kennedy III,D,MA-4,0.00
Katherine M. Clark,D,MA-5,0.00
Seth Moulton,D,MA-6,0.08
Michael E. Capuano,D,MA-7,0.00
Stephen F. Lynch,D,MA-8,0.00
William R. Keating,D,MA-9,0.08
Andy Harris,R,MD-1,1.00
C. A. Dutch Ruppersberger,D,MD-2,0.08
John P. Sarbanes,D,MD-3,0.00
Anthony G. Brown,D,MD-4,0.00
Steny H. Hoyer,D,MD-5,0.00
John K. Delaney,D,MD-6,0.08
Elijah E. Cummings,D,MD-7,0.00
Jamie Raskin,D,MD-8,0.00
Chellie Pingree,D,ME-1,0.00
Bruce Poliquin,R,ME-2,0.92
Jack Bergman,R,MI-1,1.00
Paul Mitchell,R,MI-10,1.00
David A. Trott,R,MI-11,1.00
Debbie Dingell,D,MI-12,0.00
John Conyers Jr.,D,MI-13,0.00
Brenda L. Lawrence,D,MI-14,0.00
Bill Huizenga,R,MI-2,1.00
Justin Amash,R,MI-3,0.85
John R. Moolenaar,R,MI-4,1.00
Daniel T. Kildee,D,MI-5,0.00
Fred Upton,R,MI-6,1.00
Tim Walberg,R,MI-7,1.00
Mike Bishop,R,MI-8,1.00
Sander M. Levin,D,MI-9,0.00
Timothy J. Walz,D,MN-1,0.15
Jason Lewis,R,MN-2,1.00
Erik Paulsen,R,MN-3,1.00
Betty McCollum,D,MN-4,0.00
Keith Ellison,D,MN-5,0.00
Tom Emmer,R,MN-6,1.00
Collin C. Peterson,D,MN-7,0.73
Richard M. Nolan,D,MN-8,0.08
Wm. Lacy Clay,D,MO-1,0.00
Ann Wagner,R,MO-2,1.00
Blaine Luetkemeyer,R,MO-3,1.00
Vicky Hartzler,R,MO-4,1.00
Emanuel Cleaver,D,MO-5,0.00
Sam Graves,R,MO-6,1.00
Billy Long,R,MO-7,1.00
Jason Smith,R,MO-8,1.00
Trent Kelly,R,MS-1,1.00
