MEMBER,PARTY,STATE,TRUMP SCORE
Lisa Murkowski,R,AK,0.94
Dan Sullivan,R,AK,1.00
Richard C. Shelby,R,AL,1.00
Luther Strange,R,AL,1.00
John Boozman,R,AR,1.00
Tom Cotton,R,AR,1.00
Jeff Flake,R,AZ,1.00
John McCain,R,AZ,0.94
Dianne Feinstein,D,CA,0.47
Kamala D. Harris,D,CA,0.28
Michael F. Bennet,D,CO,0.39
Cory Gardner,R,CO,1.00
Richard Blumenthal,D,CT,0.29
Christopher Murphy,D,CT,0.35
Thomas R. Carper,D,DE,0.39
Christopher A. Coons,D,DE,0.35
Bill Nelson,D,FL,0.39
Marco Rubio,R,FL,1.00
Johnny Isakson,R,GA,1.00
David Perdue,R,GA,1.00
Mazie K. Hirono,D,HI,0.39
Brian Schatz,D,HI,0.39
Joni Ernst,R,IA,1.00
Chuck Grassley,R,IA,1.00
Mike Crapo,R,ID,1.00
James E. Risch,R,ID,1.00
Tammy Duckworth,D,IL,0.33
Richard J. Durbin,D,IL,0.28
Joe Donnelly,D,IN,0.56
Todd Young,R,IN,1.00
Jerry Moran,R,KS,1.00
Pat Roberts,R,KS,1.00
Mitch McConnell,R,KY,1.00
Rand Paul,R,KY,0.89
Bill Cassidy,R,LA,1.00
John Kennedy,R,LA,1.00
Edward J. Markey,D,MA,0.29
Elizabeth Warren,D,MA,0.17
Benjamin L. Cardin,D,MD,0.39
Chris Van Hollen,D,MD,0.22
Susan M. Collins,R,ME,0.89
Angus S. King Jr.,I,ME,0.56
Gary C. Peters,D,MI,0.39
Debbie Stabenow,D,MI,0.39
Al Franken,D,MN,0.39
Amy Klobuchar,D,MN,0.44
Roy Blunt,R,MO,1.00
Claire McCaskill,D,MO,0.53
Thad Cochran,R,MS,1.00
Roger F. Wicker,R,MS,1.00
Steve Daines,R,MT,1.00
Jon Tester,D,MT,0.39
Richard Burr,R,NC,1.00
Thom Tillis,R,NC,1.00
Heidi Heitkamp,D,ND,0.61
John Hoeven,R,ND,1.00
Deb Fischer,R,NE,1.00
Ben Sasse,R,NE,1.00
Margaret Wood Hassan,D,NH,0.44
Jeanne Shaheen,D,NH,0.44
Cory A. Booker,D,NJ,0.17
Robert Menendez,D,NJ,0.39
Martin Heinrich,D,NM,0.22
Tom Udall,D,NM,0.17
Catherine Cortez Masto,D,NV,0.33
Dean Heller,R,NV,1.00
Kirsten E. Gillibrand,D,NY,0.11
Charles E. Schumer,D,NY,0.33
Sherrod Brown,D,OH,0.33
Rob Portman,R,OH,1.00
James M. Inhofe,R,OK,1.00
James Lankford,R,OK,1.00
Jeff Merkley,D,OR,0.17
Ron Wyden,D,OR,0.22
Robert P. Casey Jr.,D,PA,0.39
Patrick J. Toomey,R,PA,1.00
Jack Reed,D,RI,0.39
Sheldon Whitehouse,D,RI,0.39
Lindsey Graham,R,SC,1.00
Tim Scott,R,SC,1.00
Mike Rounds,R,SD,1.00
John Thune,R,SD,1.00
Lamar Alexander,R,TN,1.00
Bob Corker,R,TN,1.00
John Cornyn,R,TX,1.00
Ted Cruz,R,TX,1.00
Orrin G. Hatch,R,UT,1.00
Mike Lee,R,UT,1.00
Tim Kaine,D,VA,0.44
Mark R. Warner,D,VA,0.50
Patrick J. Leahy,D,VT,0.33
Bernard Sanders,I,VT,0.17
Maria Cantwell,D,WA,0.39
Patty Murray,D,WA,0.28
Tammy Baldwin,D,WI,0.28
Ron Johnson,R,WI,1.00
Shelley Moore Capito,R,WV,1.00
Joe Manchin III,D,WV,0.72
John Barrasso,R,WY,1.00
Michael B. Enzi,R,WY,1.00
